Broken Arrow Police Dept	OK	187	190	180	143	144	155
Norman Police Dept	OK	177	167	162	138	191	173
Oklahoma City Police Dept	OK	4,612	5,400	5,181	5,304	5,108	5,474
Tulsa Police Dept	OK	4,552	4,922	4,295	4,304	3,960	3,949
Eugene Police Dept	OR	426	496	470	416	460	430
Gresham Police Dept	OR	470	495	382	470	416	487
Portland Police Dept	OR	3,701	3,445	3,105	3,051	3,037	3,093
Salem Police Dept	OR	583	575	599	497	519	564
Allentown City Police Dept	PA	869	805	749	732	647	653
Erie Police Dept	PA	543	646	472	490	431	458
Philadelphia Police Dept	PA	21,180	20,771	19,163	18,535	18,268	17,853
Pittsburgh	PA	3,455	3,358	3,087	2,810	2,476	2,347
Providence Police Dept	RI	978	1,164	1,189	1,216	 	1,133
Charleston City Police Dept	SC	909	802	597	427	398	296
Columbia Police Dept	SC	1,312	1,090	1,339	1,302	1,001	1,042
North Charleston Police Dept	SC	1,569	1,377	996	872	653	737
Sioux Falls Police Dept	SD	387	532	456	487	440	631
Chattanooga Police Dept	TN	2,022	1,877	1,789	1,566	1,460	1,709
Clarksville Police Dept	TN	998	957	806	802	883	875
Knoxville Police Dept	TN	2,066	1,995	1,969	1,768	1,691	1,774
Memphis Police Dept	TN	13,065	12,939	12,072	10,401	10,336	11,507
Murfreesboro Police Dept	TN	691	646	697	604	654	701
Nashville-Davidson Metro Police Dept	TN	8,513	8,365	6,959	6,802	7,239	7,550
Abilene Police Dept	TX	661	648	658	578	428	472
Amarillo Police Dept	TX	1,835	1,473	1,580	1,200	1,223	1,278
Arlington Police Dept	TX	2,588	2,262	2,330	1,925	1,874	1,909
Austin Police Dept	TX	3,871	3,935	4,024	3,790	3,471	3,405
Beaumont Police Dept	TX	1,073	1,015	1,002	900	1,069	1,242
Brownsville Police Dept	TX	880	634	454	563	500	473
Carrollton Police Dept	TX	237	293	250	184	206	180
City Of Fort Worth Police Dept	TX	4,477	4,627	4,245	4,301	4,569	4,525
City Of Waco Police Dept	TX	1,139	1,031	883	838	766	635
Corpus Christi Police Dept	TX	2,367	2,226	2,365	2,068	1,987	2,057
Dallas Police Dept	TX	13,248	11,420	10,221	9,161	8,330	8,380
Denton Police Dept	TX	365	346	307	312	311	369
El Paso Police Dept	TX	2,574	2,825	2,830	2,861	2,858	2,859
Frisco Police Dept	TX	92	105	108	129	122	98
Garland Police Dept	TX	763	773	608	492	530	540
Grand Prairie Police Dept	TX	608	545	524	599	591	499
Houston Police Dept	TX	24,564	24,779	25,593	22,491	20,892	21,610
Irving Police Dept	TX	729	722	604	529	514	507
Killeen Police Dept	TX	815	885	750	993	815	851
Laredo	TX	1,281	1,357	1,294	1,142	1,120	1,036
Lewisville Police Dept	TX	185	235	197	240	183	168
Lubbock Police Dept	TX	1,953	2,098	2,079	2,001	1,800	1,962
Mcallen Police Dept	TX	372	371	348	299	246	166
Mckinney Police Dept	TX	255	272	247	224	241	229
Mesquite Police Dept	TX	577	492	534	482	397	442
Midland Police Dept	TX	343	420	426	407	334	398
Odessa Police Dept	TX	529	675	787	726	748	1,103
Pasadena Police Dept	TX	635	645	706	611	566	622
Plano Police Dept	TX	670	605	471	484	429	358
Richardson Police Dept	TX	289	270	231	194	173	171
Round Rock Police Dept	TX	112	128	128	116	115	141
San Antonio Police Dept	TX	7,327	9,699	7,844	8,434	7,038	6,943
Tyler Police Dept	TX	652	635	529	656	503	537
Wichita Falls Police Dept	TX	576	557	520	463	459	475
Provo Police Dept	UT	168	186	170	196	149	149
Salt Lake City Police Dept	UT	1,504	1,424	1,284	1,294	1,213	1,300
West Jordan Police Dept	UT	206	215	169	260	210	199
West Valley Police Dept	UT	597	601	566	606	588	599
Alexandria Police Dept	VA	366	326	288	272	252	243
Chesapeake Police Dept	VA	982	1,014	873	877	892	839
