Wichita Falls Police Dept,TX,576,557,520,463,459,475, 
Provo Police Dept,UT,168,186,170,196,149,149, 
Salt Lake City Police Dept,UT,1504,1424,1284,1294,1213,1300, 
West Jordan Police Dept,UT,206,215,169,260,210,199, 
West Valley Police Dept,UT,597,601,566,606,588,599, 
Alexandria Police Dept,VA,366,326,288,272,252,243, 
Chesapeake Police Dept,VA,982,1014,873,877,892,839, 
Hampton Police Dept,VA,523,468,450,394,350,314, 
Newport News Police Dept,VA,1235,1237,1023,983,845,754, 
Norfolk Police Dept,VA,1981,1971,1608,1450,1424,1332, 
Richmond (City) Bureau Of Police,VA,1841,1588,1657,1514,1428,1348, 
Virginia Beach Police Dept,VA,1084,1040,896,831,776,758, 
Bellevue Police Dept,WA,138,168,162,138,140,161, 
Everett Police Dept,WA,564,584,610,535,450,481, 
Kent Police Dept,WA,525,543,507,501,577,543, 
Seattle Police Dept,WA,3667,3447,3861,3515,3664,3746, 
Spokane Police Dept,WA,1322,1352,1270,1270,1304,1369, 
Tacoma Police Dept,WA,2066,2008,1949,1704,1507,1615, 
Vancouver Police Dept,WA,646,605,656,671,633,592, 
Green Bay Police Dept,WI,616,502,473,370,373,514, 
Madison City Police Dept,WI,834,891,853,939,815,897, 
Milwaukee Police Dept,WI,8057,7404,6661,6336,5969,7759, 
